Technology type,Technology general name,Technology specific name,Target sector,Lifetime,Lifetime min,Lifetime max,Applicable geographic area,Year,Source,Capital cost marginal,Capital cost marginal min,Capital cost marginal max,Capital cost fixed,Capital cost fixed min,Capital cost fixed max,Installation cost,Installation cost min,Installation cost max,Operation cost,Operation cost min,Operation cost max,Operation cost per kW,Operation cost per kW min,Operation cost per kW max,Maintenance cost,Maintenance cost min,Maintenance cost max,OM cost,OM cost min,OM cost max,OM cost per kW,OM cost per kW min,OM cost per kW max,OM cost per kWh,OM cost per kWh min,OM cost per kWh max,Original currency,Assumed currency conversion rate,Output type,Fuel type,Prime mover,Emissions control type,Additional operational control type,Capacity,Capacity min,Capacity max,Efficiency,Efficiency min,Efficiency max,Electrical efficiency,Electrical efficiency min,Electrical efficiency max,Thermal efficiency,Thermal efficiency min,Thermal efficiency max,Heat to power ratio,Heat to power ratio min,Heat to power ratio max,Load factor,Load factor min,Load factor max,Power density,Power density min,Power density max,Area,Area min,Area max,Type of energy stored,Volumetric storage capacity,Volumetric storage capacity min,Volumetric storage capacity max,Energy storage capacity,Energy storage capacity min,Energy storage capacity max,Max charge rate,Max charge rate min,Max charge rate max,Max discharge rate,Max discharge rate min,Max discharge rate max,Charging efficiency,Charging efficiency min,Charging efficiency max,Discharging efficiency,Discharging efficiency min,Discharging efficiency max,Min state of charge,Min state of charge min,Min state of charge max,Loss rate,Loss rate min,Loss rate max,Lifetime cycles,Lifetime cycles min,Lifetime cycles max,Additional property 1 name,Additional property 1 value,Additional property 1 units,Additional property 2 name,Additional property 2 value,Additional property 2 units,Additional property 3 name,Additional property 3 value,Additional property 3 units,Additional property 4 name,Additional property 4 value,Additional property 4 units,Additional property 5 name,Additional property 5 value,Additional property 5 units,Comment
Energy conversion technology,Reciprocating engine,Reciprocating engine - Jenbacher 600,,,,,,,"Nielsen, M., Illerup, J.B. &amp; Birr-Petersen, K. 2008. Revised emission factors for gas engines including start/stop emissions. Sub-report 3 (NERI). National Environmental Research Institute, University of Aarhus. 69 pp. - NERI Technical Report No. 672. http://www.dmu.dk/Pub/FR672.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Natural gas boiler,Natural gas boiler - Condensing boiler,Domestic,,,,,2025,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,2975.88,3719.85,,,,,,,,,,130.939,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Wind turbine,Wind turbine - Micro,,,,,,2012,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",2025.09,,,,3036.89,3542.79,,,,,,,,,,163.673,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lower fixed cost for new build is due to the fact that the equipment is already on site for the building construction
Energy conversion technology,Reciprocating engine,Reciprocating engine - MAN B&amp;W,,,,,,,"Nielsen, M., Illerup, J.B. &amp; Birr-Petersen, K. 2008. Revised emission factors for gas engines including start/stop emissions. Sub-report 3 (NERI). National Environmental Research Institute, University of Aarhus. 69 pp. - NERI Technical Report No. 672. http://www.dmu.dk/Pub/FR672.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Fuel cell,Fuel cell - High Temperature,,,,,,,"Heath, G., Granvold, P., Hoats, A., Nazaroff, W. 2005. Quantifying the air pollution exposure consequences of distributed electricity generation. University of California Energy Institute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Microturbine,,,,,,,,"Medrano, M., Brouwer, J., Carreras-Sospedra, M., Rodriguez, M., Dabdub, D., Samuelsen, G. 2008. A methodology for developing distributed generation scenarios in urban areas using geographical information systems. International Journal of Energy Technology and Policy. 6. 4. 2008. 413дус 434.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Solar thermal,,Non-Domestic,,,,,2008,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,1416.52,2266.13,,,,,,,,,,327.347,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Wind turbine,Wind turbine - Micro,,,,,,2015,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",1798.92,,,,2699.12,3148.48,,,,,,,,,,163.673,,,,,,,,,,,,GBP,1.48794,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lower fixed cost for new build is due to the fact that the equipment is already on site for the building construction
Energy conversion technology,Gas turbine,,,,,,,,United States Environmental Protection Agency. 2008. Catalog of CHP Technologies. USEPA. http://www.epa.gov/chp/technologies.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHP,,,Unknown,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy conversion technology,Natural gas boiler,Natural gas boiler - Condensing boiler,Domestic,,,,,2012,"Element Energy. 2008. The growth potential for Microgeneration in England, Wales, and Scotland.  Final Appendix. Report for the Microgeneration Council. http://webarchive.nationalarchives.gov.uk/20090224142727/berr.gov.uk/whatwedo/energy/sources/sustainable/microgeneration/research/page38208.html",,,,,2975.88,3719.85,,,,,,,,,,130.939,,,,,,,,,,,,GBP,1.48794,Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
